"transaction_id","line_item_number","transaction_date","customer_id","product_id","sale_amount","sale_amount","quantity","gender","state","first_name","last_name","email_address","dob","street_address","date_created","create_source","pieces","cost","product_description","color_desc","material_desc"
1,1,2022-11-18,1843,157,1458,1458,1,M,SC,Angie,Hernandez,mayamanda@example.com,1965-06-02,"856 Jimenez Rapids Suite 283",2016-11-16,Store,4,418.25,bookcase,grey,wood
1,2,2022-11-18,1843,114,861,861,1,M,SC,Angie,Hernandez,mayamanda@example.com,1965-06-02,"856 Jimenez Rapids Suite 283",2016-11-16,Store,4,329.64,sofa,blue,leather
1,3,2022-11-18,1843,93,88,88,1,M,SC,Angie,Hernandez,mayamanda@example.com,1965-06-02,"856 Jimenez Rapids Suite 283",2016-11-16,Store,3,29.84,desk chair,beige,plastic
2,1,2022-05-23,7320,94,405,405,1,F,AL,Lauren,Richards,kaylarosario@example.org,1988-05-09,"777 Payne Spring",2023-05-08,Store,4,147.43,bookcase,green,metal
3,1,2011-11-21,9901,57,138,138,1,F,AL,Valerie,Hunter,richard32@example.org,1996-07-16,"228 Rosales Meadows Apt. 344",2020-07-28,Store,6,53.17,dinette set,green,plastic
3,2,2011-11-21,9901,92,712,712,1,F,AL,Valerie,Hunter,richard32@example.org,1996-07-16,"228 Rosales Meadows Apt. 344",2020-07-28,Store,4,345.03,nightstand,black,leather
3,3,2011-11-21,9901,199,116,116,1,F,AL,Valerie,Hunter,richard32@example.org,1996-07-16,"228 Rosales Meadows Apt. 344",2020-07-28,Store,6,56.51,nightstand,beige,leather
3,4,2011-11-21,9901,121,38,38,1,F,AL,Valerie,Hunter,richard32@example.org,1996-07-16,"228 Rosales Meadows Apt. 344",2020-07-28,Store,7,11.43,nightstand,white,plastic
4,1,2020-02-26,9251,26,771,771,2,M,MS,Angela,Smith,kellerdoris@example.org,1961-12-27,"41574 Julian Station Apt. 947",2021-02-27,Store,3,229.29,dresser,red,fabric
4,2,2020-02-26,9251,129,313,313,1,M,MS,Angela,Smith,kellerdoris@example.org,1961-12-27,"41574 Julian Station Apt. 947",2021-02-27,Store,5,159.4,bedframe,grey,metal
4,3,2020-02-26,9251,37,65,65,1,M,MS,Angela,Smith,kellerdoris@example.org,1961-12-27,"41574 Julian Station Apt. 947",2021-02-27,Store,7,32.24,desk,green,metal
4,4,2020-02-26,9251,67,215,215,2,M,MS,Angela,Smith,kellerdoris@example.org,1961-12-27,"41574 Julian Station Apt. 947",2021-02-27,Store,4,60.45,bedframe,black,metal
5,1,2018-03-02,7677,123,413,413,1,F,GA,Linda,Aguilar,ymcbride@example.org,1956-04-18,"37856 Jenkins Viaduct Apt. 508",2020-04-21,Store,5,120.67,sofa,green,wood
5,2,2018-03-02,7677,143,149,149,1,F,GA,Linda,Aguilar,ymcbride@example.org,1956-04-18,"37856 Jenkins Viaduct Apt. 508",2020-04-21,Store,4,73.64,chest,red,plastic
5,3,2018-03-02,7677,163,486,486,2,F,GA,Linda,Aguilar,ymcbride@example.org,1956-04-18,"37856 Jenkins Viaduct Apt. 508",2020-04-21,Store,3,250.8,love-seat,yellow,plastic
6,1,2020-11-23,7101,99,86,86,1,M,SC,Brandon,Collins,lisa65@example.org,1995-02-25,"4825 Joseph Lane",2020-10-02,Store,3,22.97,chair,grey,plastic
6,2,2020-11-23,7101,112,351,351,1,M,SC,Brandon,Collins,lisa65@example.org,1995-02-25,"4825 Joseph Lane",2020-10-02,Store,5,93.88,desk,blue,wood
6,3,2020-11-23,7101,67,196,196,1,M,SC,Brandon,Collins,lisa65@example.org,1995-02-25,"4825 Joseph Lane",2020-10-02,Store,4,60.45,bedframe,black,metal
6,4,2020-11-23,7101,153,106,106,1,M,SC,Brandon,Collins,lisa65@example.org,1995-02-25,"4825 Joseph Lane",2020-10-02,Store,4,39.74,love-seat,yellow,fabric
7,1,2022-02-15,1591,46,215,215,1,M,SC,Monique,Swanson,emily72@example.net,1985-11-03,"675 Chris Spurs",2017-01-23,Store,6,107.95,bookcase,green,fabric
7,2,2022-02-15,1591,69,239,239,1,M,SC,Monique,Swanson,emily72@example.net,1985-11-03,"675 Chris Spurs",2017-01-23,Store,5,65.98,dresser,red,fabric
7,3,2022-02-15,1591,130,112,112,1,M,SC,Monique,Swanson,emily72@example.net,1985-11-03,"675 Chris Spurs",2017-01-23,Store,3,55.74,dresser,brown,metal
7,4,2022-02-15,1591,74,478,478,1,M,SC,Monique,Swanson,emily72@example.net,1985-11-03,"675 Chris Spurs",2017-01-23,Store,5,160.84,coffee table,yellow,plastic
8,1,2014-03-26,2350,129,376,376,1,M,GA,Jessica,Andrews,watkinsjennifer@example.net,1963-01-02,"045 Heather Rest",2019-06-28,Store,5,159.4,bedframe,grey,metal
8,2,2014-03-26,2350,156,1140,1140,3,M,GA,Jessica,Andrews,watkinsjennifer@example.net,1963-01-02,"045 Heather Rest",2019-06-28,Store,6,294.68,dinette set,red,metal
9,1,2019-05-09,4739,58,554,554,3,M,SC,Lisa,Huffman,gouldrobin@example.net,1996-09-19,"337 Matthew Pine Suite 531",2017-06-12,Store,1,186.55,end table,white,metal
10,1,2017-12-06,1250,42,399,399,1,F,NC,Carlos,Hoffman,donald82@example.com,1976-08-06,"56355 Barnes Shores Apt. 901",2017-12-03,Store,2,173.83,sofa,grey,fabric
10,2,2017-12-06,1250,95,2169,2169,1,F,NC,Carlos,Hoffman,donald82@example.com,1976-08-06,"56355 Barnes Shores Apt. 901",2017-12-03,Store,1,1301.93,bedframe,beige,plastic
11,1,2019-05-19,783,194,356,356,1,F,GA,Amanda,Gonzalez,jennifer42@example.com,1960-10-08,"490 Taylor Unions Apt. 539",2020-06-03,Store,4,92.35,bedframe,red,leather
11,2,2019-05-19,783,70,158,158,1,F,GA,Amanda,Gonzalez,jennifer42@example.com,1960-10-08,"490 Taylor Unions Apt. 539",2020-06-03,Store,6,47.54,bookcase,brown,wood
12,1,2022-01-01,3040,141,498,498,1,M,GA,Priscilla,Riley,santiagowanda@example.org,1956-03-01,"01132 Jackson Views",2021-12-28,Web,4,140.17,nightstand,beige,plastic
12,2,2022-01-01,3040,86,1571,1571,3,M,GA,Priscilla,Riley,santiagowanda@example.org,1956-03-01,"01132 Jackson Views",2021-12-28,Web,6,740.18,chair,yellow,metal
12,3,2022-01-01,3040,95,2241,2241,1,M,GA,Priscilla,Riley,santiagowanda@example.org,1956-03-01,"01132 Jackson Views",2021-12-28,Web,1,1301.93,bedframe,beige,plastic
12,4,2022-01-01,3040,151,1218,1218,1,M,GA,Priscilla,Riley,santiagowanda@example.org,1956-03-01,"01132 Jackson Views",2021-12-28,Web,6,323.97,dresser,blue,fabric
13,1,2018-06-19,8620,52,41,41,2,M,AL,Margaret,Trevino,johnburns@example.org,1976-10-13,"255 Walker Harbor",2021-07-22,Web,3,24.46,love-seat,dark grey,metal
14,1,2016-10-12,4848,100,656,656,1,M,TN,Lindsey,Sanchez,joneswyatt@example.net,1968-02-02,"10587 Michael Street",2014-05-26,Store,7,176.92,nightstand,beige,fabric
